uttid,wav_path,transcription,length_seconds
BAC009S0153W0448,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0153W0448.wav,"{'uttid': 'BAC009S0153W0448', 'text': '影响 DIGITAL正常运行的', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0153W0448.wav', 'rtf': '0.0091'}",2.968
BAC009S0339W0452,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0339W0452.wav,"{'uttid': 'BAC009S0339W0452', 'text': '海浪橙色警报已发布', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0339W0452.wav', 'rtf': '0.0091'}",3.682
BAC009S0120W0322,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0120W0322.wav,"{'uttid': 'BAC009S0120W0322', 'text': '企业多以代加工为主', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0120W0322.wav', 'rtf': '0.0091'}",3.406
BAC009S0704W0232,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0704W0232.wav,"{'uttid': 'BAC009S0704W0232', 'text': '国内光伏系统并网率', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0704W0232.wav', 'rtf': '0.0091'}",3.345
BAC009S0037W0330,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0037W0330.wav,"{'uttid': 'BAC009S0037W0330', 'text': 'START增加新款的销售', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0037W0330.wav', 'rtf': '0.0091'}",2.671
BAC009S0237W0246,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0237W0246.wav,"{'uttid': 'BAC009S0237W0246', 'text': '对防范信息系统故障', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0237W0246.wav', 'rtf': '0.0091'}",3.136
BAC009S0144W0135,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0144W0135.wav,"{'uttid': 'BAC009S0144W0135', 'text': '昨天的统计数据显示', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0144W0135.wav', 'rtf': '0.0091'}",2.532
BAC009S0181W0331,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0181W0331.wav,"{'uttid': 'BAC009S0181W0331', 'text': '数据显示', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0181W0331.wav', 'rtf': '0.0091'}",2.05
BAC009S0126W0289,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0126W0289.wav,"{'uttid': 'BAC009S0126W0289', 'text': '操作系统受限于谷歌', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0126W0289.wav', 'rtf': '0.0091'}",3.11
BAC009S0090W0193,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0090W0193.wav,"{'uttid': 'BAC009S0090W0193', 'text': '或者不愿意进行调整', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0090W0193.wav', 'rtf': '0.0091'}",2.782
BAC009S0656W0287,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0656W0287.wav,"{'uttid': 'BAC009S0656W0287', 'text': '特斯拉调整中国团队', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0656W0287.wav', 'rtf': '0.0091'}",3.054
BAC009S0011W0395,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0011W0395.wav,"{'uttid': 'BAC009S0011W0395', 'text': '顶住了压力自行前进', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0011W0395.wav', 'rtf': '0.0091'}",2.748
BAC009S0005W0131,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0005W0131.wav,"{'uttid': 'BAC009S0005W0131', 'text': '他可以调整衣服的长度', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0005W0131.wav', 'rtf': '0.0091'}",2.907
BAC009S0149W0285,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0149W0285.wav,"{'uttid': 'BAC009S0149W0285', 'text': '带上这款可穿戴设备', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0149W0285.wav', 'rtf': '0.0091'}",3.111
BAC009S0096W0488,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0096W0488.wav,"{'uttid': 'BAC009S0096W0488', 'text': '最近几年比较火的一个新品', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0096W0488.wav', 'rtf': '0.0091'}",3.332
BAC009S0167W0128,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0167W0128.wav,"{'uttid': 'BAC009S0167W0128', 'text': '催生了新的办公模式', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0167W0128.wav', 'rtf': '0.0091'}",3.2
BAC009S0054W0297,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0054W0297.wav,"{'uttid': 'BAC009S0054W0297', 'text': '不够缓冲 INVESTORS或者家里', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0054W0297.wav', 'rtf': '0.0091'}",4.739
BAC009S0063W0137,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0063W0137.wav,"{'uttid': 'BAC009S0063W0137', 'text': '我方高地防御塔正在被攻击', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0063W0137.wav', 'rtf': '0.0091'}",2.735
BAC009S0252W0285,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0252W0285.wav,"{'uttid': 'BAC009S0252W0285', 'text': '大大降低设备的 WOOD面积', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0252W0285.wav', 'rtf': '0.0091'}",2.777
BAC009S0064W0138,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0064W0138.wav,"{'uttid': 'BAC009S0064W0138', 'text': '就是加速企业冲压力', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0064W0138.wav', 'rtf': '0.0091'}",3.042
BAC009S0026W0176,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0026W0176.wav,"{'uttid': 'BAC009S0026W0176', 'text': '剧中人真想 SEE剧情的时候', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0026W0176.wav', 'rtf': '0.0091'}",2.767
BAC009S0032W0220,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0032W0220.wav,"{'uttid': 'BAC009S0032W0220', 'text': '运用经济状况核对系统', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0032W0220.wav', 'rtf': '0.0091'}",3.11
BAC009S0239W0294,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0239W0294.wav,"{'uttid': 'BAC009S0239W0294', 'text': '我的心愿就是为你', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0239W0294.wav', 'rtf': '0.0091'}",2.68
BAC009S0346W0202,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0346W0202.wav,"{'uttid': 'BAC009S0346W0202', 'text': '安全生产隐患排查表', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0346W0202.wav', 'rtf': '0.0091'}",3.241
BAC009S0238W0244,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0238W0244.wav,"{'uttid': 'BAC009S0238W0244', 'text': '提高专利数据分析水平', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0238W0244.wav', 'rtf': '0.0091'}",2.977
BAC009S0152W0446,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0152W0446.wav,"{'uttid': 'BAC009S0152W0446', 'text': '是一个感官模式', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0152W0446.wav', 'rtf': '0.0091'}",2.363
BAC009S0701W0166,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0701W0166.wav,"{'uttid': 'BAC009S0701W0166', 'text': '部分城市去化压力尚存', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0701W0166.wav', 'rtf': '0.0091'}",3.601
BAC009S0076W0362,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0076W0362.wav,"{'uttid': 'BAC009S0076W0362', 'text': '启动时脚步蹬地挺 BUMP', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0076W0362.wav', 'rtf': '0.0091'}",3.019
BAC009S0244W0414,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0244W0414.wav,"{'uttid': 'BAC009S0244W0414', 'text': '大家都很关注这些事情的时候', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0244W0414.wav', 'rtf': '0.0091'}",2.906
BAC009S0341W0427,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0341W0427.wav,"{'uttid': 'BAC009S0341W0427', 'text': '虽然只是来医院检查', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0341W0427.wav', 'rtf': '0.0091'}",2.744
BAC009S0105W0252,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0105W0252.wav,"{'uttid': 'BAC009S0105W0252', 'text': '这样你就可以把所有的东西都', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0105W0252.wav', 'rtf': '0.0091'}",2.987
BAC009S0134W0171,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0134W0171.wav,"{'uttid': 'BAC009S0134W0171', 'text': '中原地产统计数据显示', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0134W0171.wav', 'rtf': '0.0091'}",3.888
BAC009S0705W0405,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0705W0405.wav,"{'uttid': 'BAC009S0705W0405', 'text': '确认影片将停止拍摄', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0705W0405.wav', 'rtf': '0.0091'}",3.272
BAC009S0131W0253,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0131W0253.wav,"{'uttid': 'BAC009S0131W0253', 'text': '好的再见再见', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0131W0253.wav', 'rtf': '0.0091'}",3.136
BAC009S0103W0126,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0103W0126.wav,"{'uttid': 'BAC009S0103W0126', 'text': '所以我们就一起去旅行', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0103W0126.wav', 'rtf': '0.0091'}",4.135
BAC009S0094W0121,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0094W0121.wav,"{'uttid': 'BAC009S0094W0121', 'text': '开发商的 SOCIAL压力较大', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0094W0121.wav', 'rtf': '0.0091'}",3.165
BAC009S0252W0140,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0252W0140.wav,"{'uttid': 'BAC009S0252W0140', 'text': '当你的怨妇在树上的时候', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0252W0140.wav', 'rtf': '0.0091'}",3.195
BAC009S0509W0160,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0509W0160.wav,"{'uttid': 'BAC009S0509W0160', 'text': '新部门如何平均自由 TIME', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0509W0160.wav', 'rtf': '0.0091'}",3.578
BAC009S0160W0166,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0160W0166.wav,"{'uttid': 'BAC009S0160W0166', 'text': '不要细受工程进度的嘈杂', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0160W0166.wav', 'rtf': '0.0091'}",3.216
BAC009S0229W0289,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0229W0289.wav,"{'uttid': 'BAC009S0229W0289', 'text': '所以 PULL了分拆的模式', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0229W0289.wav', 'rtf': '0.0091'}",3.282
BAC009S0599W0220,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0599W0220.wav,"{'uttid': 'BAC009S0599W0220', 'text': '根据各地的建设需求', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0599W0220.wav', 'rtf': '0.0091'}",2.944
BAC009S0016W0159,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0016W0159.wav,"{'uttid': 'BAC009S0016W0159', 'text': '互联网家装美食美食', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0016W0159.wav', 'rtf': '0.0091'}",3.382
BAC009S0353W0147,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0353W0147.wav,"{'uttid': 'BAC009S0353W0147', 'text': '马云控制的阿里巴巴公司', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0353W0147.wav', 'rtf': '0.0091'}",2.981
BAC009S0239W0134,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0239W0134.wav,"{'uttid': 'BAC009S0239W0134', 'text': '日本资金压力大的情况下', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0239W0134.wav', 'rtf': '0.0091'}",3.451
BAC009S0018W0241,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0018W0241.wav,"{'uttid': 'BAC009S0018W0241', 'text': 'LOVE美观使用感恩经费', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0018W0241.wav', 'rtf': '0.0091'}",3.002
BAC009S0198W0313,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0198W0313.wav,"{'uttid': 'BAC009S0198W0313', 'text': '第一步人员检测', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0198W0313.wav', 'rtf': '0.0091'}",2.8
BAC009S0062W0490,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0062W0490.wav,"{'uttid': 'BAC009S0062W0490', 'text': 'AN ALLY HAS BEEN SLAIN', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0062W0490.wav', 'rtf': '0.0091'}",3.673
BAC009S0722W0214,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0722W0214.wav,"{'uttid': 'BAC009S0722W0214', 'text': '艾滋病正确的检测性病毒', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0722W0214.wav', 'rtf': '0.0091'}",3.281
BAC009S0509W0140,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0509W0140.wav,"{'uttid': 'BAC009S0509W0140', 'text': '维护公众不动产权益', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0509W0140.wav', 'rtf': '0.0091'}",3.362
BAC009S0025W0163,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0025W0163.wav,"{'uttid': 'BAC009S0025W0163', 'text': '我们是一个专业的学习机器人', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0025W0163.wav', 'rtf': '0.0091'}",3.698
BAC009S0185W0233,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0185W0233.wav,"{'uttid': 'BAC009S0185W0233', 'text': '暂停保代人的保健项目', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0185W0233.wav', 'rtf': '0.0091'}",3.292
BAC009S0059W0305,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0059W0305.wav,"{'uttid': 'BAC009S0059W0305', 'text': '维护消费者的合法权益', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0059W0305.wav', 'rtf': '0.0091'}",2.908
BAC009S0114W0334,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0114W0334.wav,"{'uttid': 'BAC009S0114W0334', 'text': '一方面检查汽车运行情况', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0114W0334.wav', 'rtf': '0.0091'}",3.28
BAC009S0019W0263,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0019W0263.wav,"{'uttid': 'BAC009S0019W0263', 'text': '根据用户的运动 TUNE', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0019W0263.wav', 'rtf': '0.0091'}",2.897
BAC009S0151W0448,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0151W0448.wav,"{'uttid': 'BAC009S0151W0448', 'text': '并转身向前拉网式转盘', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0151W0448.wav', 'rtf': '0.0091'}",3.333
BAC009S0102W0166,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0102W0166.wav,"{'uttid': 'BAC009S0102W0166', 'text': '逐步降低企业 INCOME的', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0102W0166.wav', 'rtf': '0.0091'}",3.663
BAC009S0421W0146,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0421W0146.wav,"{'uttid': 'BAC009S0421W0146', 'text': '要调整资产和负债结构', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0421W0146.wav', 'rtf': '0.0091'}",4.12
BAC009S0354W0279,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0354W0279.wav,"{'uttid': 'BAC009S0354W0279', 'text': '除了上次你们跟我们说', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0354W0279.wav', 'rtf': '0.0091'}",3.111
BAC009S0232W0162,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0232W0162.wav,"{'uttid': 'BAC009S0232W0162', 'text': '中原地产最新出炉的手机', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0232W0162.wav', 'rtf': '0.0091'}",2.832
BAC009S0052W0299,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0052W0299.wav,"{'uttid': 'BAC009S0052W0299', 'text': '将这些数据上传至 MONEY', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0052W0299.wav', 'rtf': '0.0091'}",3.626
BAC009S0189W0228,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0189W0228.wav,"{'uttid': 'BAC009S0189W0228', 'text': '而对于生产企业而言', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0189W0228.wav', 'rtf': '0.0091'}",3.549
BAC009S0702W0156,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0702W0156.wav,"{'uttid': 'BAC009S0702W0156', 'text': '部分城市去化压力上升', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0702W0156.wav', 'rtf': '0.0091'}",3.8
BAC009S0359W0306,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0359W0306.wav,"{'uttid': 'BAC009S0359W0306', 'text': '我感觉他设计非常的 NICE', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0359W0306.wav', 'rtf': '0.0091'}",2.923
BAC009S0244W0307,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0244W0307.wav,"{'uttid': 'BAC009S0244W0307', 'text': '对他们压力太大了', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0244W0307.wav', 'rtf': '0.0091'}",2.61
BAC009S0111W0239,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0111W0239.wav,"{'uttid': 'BAC009S0111W0239', 'text': '对中国机长说我要看这个', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0111W0239.wav', 'rtf': '0.0091'}",2.956
BAC009S0043W0278,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0043W0278.wav,"{'uttid': 'BAC009S0043W0278', 'text': '我也不知道', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0043W0278.wav', 'rtf': '0.0091'}",2.397
BAC009S0185W0464,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0185W0464.wav,"{'uttid': 'BAC009S0185W0464', 'text': '该物流园将启动运营', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0185W0464.wav', 'rtf': '0.0091'}",3.401
BAC009S0035W0186,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0035W0186.wav,"{'uttid': 'BAC009S0035W0186', 'text': '因为最环保的食品就是食品', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0035W0186.wav', 'rtf': '0.0091'}",3.193
BAC009S0006W0266,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0006W0266.wav,"{'uttid': 'BAC009S0006W0266', 'text': '他们是一个比较善于设计和专注的行业', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0006W0266.wav', 'rtf': '0.0091'}",2.988
BAC009S0047W0127,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0047W0127.wav,"{'uttid': 'BAC009S0047W0127', 'text': '不少房企迫于资金压力', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0047W0127.wav', 'rtf': '0.0091'}",3.586
BAC009S0250W0257,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0250W0257.wav,"{'uttid': 'BAC009S0250W0257', 'text': '并避免调整授权模式', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0250W0257.wav', 'rtf': '0.0091'}",2.841
BAC009S0363W0129,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0363W0129.wav,"{'uttid': 'BAC009S0363W0129', 'text': 'SEARCH是一种合作模式', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0363W0129.wav', 'rtf': '0.0091'}",3.292
BAC009S0121W0148,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0121W0148.wav,"{'uttid': 'BAC009S0121W0148', 'text': '对于七月份房价数据', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0121W0148.wav', 'rtf': '0.0091'}",3.497
BAC009S0207W0216,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0207W0216.wav,"{'uttid': 'BAC009S0207W0216', 'text': '下阶段将持续监测执行', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0207W0216.wav', 'rtf': '0.0091'}",3.402
BAC009S0053W0337,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0053W0337.wav,"{'uttid': 'BAC009S0053W0337', 'text': '我觉得这个电影还是蛮有意思的', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0053W0337.wav', 'rtf': '0.0091'}",3.345
BAC009S0718W0331,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0718W0331.wav,"{'uttid': 'BAC009S0718W0331', 'text': '海燕对 RAW女士说笑', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0718W0331.wav', 'rtf': '0.0091'}",2.935
BAC009S0058W0188,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0058W0188.wav,"{'uttid': 'BAC009S0058W0188', 'text': '回答的 GOODS的操作请问', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0058W0188.wav', 'rtf': '0.0091'}",2.824
BAC009S0347W0360,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0347W0360.wav,"{'uttid': 'BAC009S0347W0360', 'text': '感觉心态没有调整好', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0347W0360.wav', 'rtf': '0.0091'}",2.423
BAC009S0115W0131,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0115W0131.wav,"{'uttid': 'BAC009S0115W0131', 'text': '国家 GDP数据显示为三十六', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0115W0131.wav', 'rtf': '0.0091'}",3.784
